project,model,seed,fold,control_task,metric,value,no_context
probe_4_no_context,gpt2,4,2,NONE,full test acc,0.5033392310142517,True
probe_4_no_context,gpt2,1,2,NONE,full test f1,0.425610214471817,True
probe_4_no_context,gpt2,1,2,NONE,full test acc,0.500817060470581,True
probe_4_no_context,gpt2,2,1,NONE,full test f1,0.4944125413894653,True
probe_4_no_context,gpt2,2,1,NONE,full test acc,0.4958081841468811,True
probe_4_no_context,gpt2,3,2,NONE,full test f1,0.4826741218566894,True
probe_4_no_context,gpt2,3,2,NONE,full test acc,0.5008881092071533,True
probe_4_no_context,gpt2,0,2,NONE,full test f1,0.4987717866897583,True
probe_4_no_context,gpt2,0,2,NONE,full test acc,0.4988987445831299,True
probe_4_no_context,gpt2,2,3,NONE,full test f1,0.3412711024284363,True
probe_4_no_context,gpt2,2,3,NONE,full test acc,0.4965896904468536,True
probe_4_no_context,gpt2,2,2,NONE,full test f1,0.4489850997924804,True
probe_4_no_context,gpt2,2,2,NONE,full test acc,0.5050088763237,True
probe_4_no_context,gpt2,3,0,NONE,full test f1,0.492578774690628,True
probe_4_no_context,gpt2,3,0,NONE,full test acc,0.5003374814987183,True
probe_4_no_context,gpt2,1,1,NONE,full test f1,0.4649789333343506,True
probe_4_no_context,gpt2,1,1,NONE,full test acc,0.4950976967811584,True
probe_4_no_context,gpt2,0,1,NONE,full test f1,0.4927902519702911,True
probe_4_no_context,gpt2,0,1,NONE,full test acc,0.4950621724128723,True
probe_4_no_context,gpt2,1,0,NONE,full test f1,0.4671847820281982,True
probe_4_no_context,gpt2,1,0,NONE,full test acc,0.5030727386474609,True
probe_4_no_context,gpt2,1,3,NONE,full test f1,0.4933894872665405,True
probe_4_no_context,gpt2,1,3,NONE,full test acc,0.4987921714782715,True
probe_4_no_context,gpt2,3,3,NONE,full test f1,0.457024872303009,True
probe_4_no_context,gpt2,3,3,NONE,full test acc,0.4962699711322784,True
probe_4_no_context,gpt2,4,0,NONE,full test f1,0.482940673828125,True
probe_4_no_context,gpt2,4,0,NONE,full test acc,0.5000177621841431,True
probe_4_no_context,gpt2,4,3,NONE,full test f1,0.3715242743492126,True
probe_4_no_context,gpt2,4,3,NONE,full test acc,0.4928241670131683,True
probe_4_no_context,gpt2,0,3,NONE,full test f1,0.3621366322040558,True
probe_4_no_context,gpt2,0,3,NONE,full test acc,0.4947424530982971,True
probe_4_no_context,gpt2,4,1,NONE,full test f1,0.4568498730659485,True
probe_4_no_context,gpt2,4,1,NONE,full test acc,0.5049378275871277,True
probe_4_no_context,gpt2,2,0,NONE,full test f1,0.5002996921539307,True
probe_4_no_context,gpt2,2,0,NONE,full test acc,0.5031793117523193,True
probe_4_no_context,gpt2,0,0,NONE,full test f1,0.4889969229698181,True
probe_4_no_context,gpt2,0,0,NONE,full test acc,0.4984902739524841,True
probe_4_no_context,albert-base-v2,2,3,NONE,full test f1,0.4899917244911194,True
probe_4_no_context,albert-base-v2,2,3,NONE,full test acc,0.4966607391834259,True
probe_4_no_context,albert-base-v2,4,1,NONE,full test f1,0.4604392051696777,True
probe_4_no_context,albert-base-v2,4,1,NONE,full test acc,0.5023446083068848,True
probe_4_no_context,albert-base-v2,0,3,NONE,full test f1,0.475947618484497,True
probe_4_no_context,albert-base-v2,0,3,NONE,full test acc,0.4992895126342773,True
probe_4_no_context,albert-base-v2,4,0,NONE,full test f1,0.5008053779602051,True
probe_4_no_context,albert-base-v2,4,0,NONE,full test acc,0.5026109218597412,True
probe_4_no_context,albert-base-v2,0,0,NONE,full test f1,0.3823778331279754,True
probe_4_no_context,albert-base-v2,0,0,NONE,full test acc,0.4958615899085998,True
probe_4_no_context,albert-base-v2,3,3,NONE,full test f1,0.4895020723342895,True
probe_4_no_context,albert-base-v2,3,3,NONE,full test acc,0.4969449341297149,True
probe_4_no_context,albert-base-v2,3,0,NONE,full test f1,0.499826431274414,True
probe_4_no_context,albert-base-v2,3,0,NONE,full test acc,0.5028951168060303,True
probe_4_no_context,albert-base-v2,3,1,NONE,full test f1,0.4915052652359009,True
probe_4_no_context,albert-base-v2,3,1,NONE,full test acc,0.5038720965385437,True
probe_4_no_context,albert-base-v2,1,0,NONE,full test f1,0.4245710074901581,True
probe_4_no_context,albert-base-v2,1,0,NONE,full test acc,0.5080459117889404,True
probe_4_no_context,albert-base-v2,4,2,NONE,full test f1,0.4758434891700744,True
probe_4_no_context,albert-base-v2,4,2,NONE,full test acc,0.5014920234680176,True
probe_4_no_context,albert-base-v2,2,2,NONE,full test f1,0.4948952496051788,True
probe_4_no_context,albert-base-v2,2,2,NONE,full test acc,0.500817060470581,True
probe_4_no_context,albert-base-v2,1,2,NONE,full test f1,0.4118092954158783,True
probe_4_no_context,albert-base-v2,1,2,NONE,full test acc,0.4982593357563019,True
probe_4_no_context,albert-base-v2,4,3,NONE,full test f1,0.4987510442733764,True
probe_4_no_context,albert-base-v2,4,3,NONE,full test acc,0.499467134475708,True
probe_4_no_context,albert-base-v2,1,1,NONE,full test f1,0.4919488430023193,True
probe_4_no_context,albert-base-v2,1,1,NONE,full test acc,0.5003552436828613,True
probe_4_no_context,albert-base-v2,1,3,NONE,full test f1,0.447125494480133,True
probe_4_no_context,albert-base-v2,1,3,NONE,full test acc,0.5001776218414307,True
probe_4_no_context,albert-base-v2,3,2,NONE,full test f1,0.4927461743354797,True
probe_4_no_context,albert-base-v2,3,2,NONE,full test acc,0.4928241670131683,True
probe_4_no_context,albert-base-v2,0,2,NONE,full test f1,0.4979093670845032,True
probe_4_no_context,albert-base-v2,0,2,NONE,full test acc,0.5004973411560059,True
probe_4_no_context,albert-base-v2,2,1,NONE,full test f1,0.4442726075649261,True
probe_4_no_context,albert-base-v2,2,1,NONE,full test acc,0.4952042698860168,True
probe_4_no_context,albert-base-v2,0,1,NONE,full test f1,0.4766634702682495,True
probe_4_no_context,albert-base-v2,0,1,NONE,full test acc,0.5049023032188416,True
probe_4_no_context,albert-base-v2,2,0,NONE,full test f1,0.412079393863678,True
probe_4_no_context,albert-base-v2,2,0,NONE,full test acc,0.4961457848548889,True
probe_4_no_context,bert-base-uncased,1,3,NONE,full test f1,0.4757980108261108,True
probe_4_no_context,bert-base-uncased,1,3,NONE,full test acc,0.4990053176879883,True
probe_4_no_context,bert-base-uncased,2,2,NONE,full test f1,0.4600813686847687,True
probe_4_no_context,bert-base-uncased,2,2,NONE,full test acc,0.5004262924194336,True
probe_4_no_context,bert-base-uncased,3,3,NONE,full test f1,0.4890882670879364,True
probe_4_no_context,bert-base-uncased,3,3,NONE,full test acc,0.4945293068885803,True
probe_4_no_context,bert-base-uncased,2,3,NONE,full test f1,0.4051449000835418,True
probe_4_no_context,bert-base-uncased,2,3,NONE,full test acc,0.5044049620628357,True
probe_4_no_context,bert-base-uncased,4,1,NONE,full test f1,0.4409884214401245,True
probe_4_no_context,bert-base-uncased,4,1,NONE,full test acc,0.5019893646240234,True
probe_4_no_context,bert-base-uncased,3,1,NONE,full test f1,0.4957159459590912,True
probe_4_no_context,bert-base-uncased,3,1,NONE,full test acc,0.4972646534442901,True
probe_4_no_context,bert-base-uncased,0,3,NONE,full test f1,0.4112845659255981,True
probe_4_no_context,bert-base-uncased,0,3,NONE,full test acc,0.4960568249225616,True
probe_4_no_context,bert-base-uncased,4,2,NONE,full test f1,0.3647571206092834,True
probe_4_no_context,bert-base-uncased,4,2,NONE,full test acc,0.4986145794391632,True
probe_4_no_context,bert-base-uncased,1,2,NONE,full test f1,0.4921048879623413,True
probe_4_no_context,bert-base-uncased,1,2,NONE,full test acc,0.499751329421997,True
probe_4_no_context,bert-base-uncased,3,2,NONE,full test f1,0.4924804270267486,True
probe_4_no_context,bert-base-uncased,3,2,NONE,full test acc,0.4965896904468536,True
probe_4_no_context,bert-base-uncased,4,3,NONE,full test f1,0.4986602663993835,True
probe_4_no_context,bert-base-uncased,4,3,NONE,full test acc,0.4986855983734131,True
probe_4_no_context,bert-base-uncased,2,0,NONE,full test f1,0.4847745299339294,True
probe_4_no_context,bert-base-uncased,2,0,NONE,full test acc,0.502824068069458,True
probe_4_no_context,bert-base-uncased,0,0,NONE,full test f1,0.421933650970459,True
probe_4_no_context,bert-base-uncased,0,0,NONE,full test acc,0.4955063760280609,True
probe_4_no_context,bert-base-uncased,2,1,NONE,full test f1,0.4501751661300659,True
probe_4_no_context,bert-base-uncased,2,1,NONE,full test acc,0.5049378275871277,True
probe_4_no_context,bert-base-uncased,0,1,NONE,full test f1,0.5036793351173401,True
probe_4_no_context,bert-base-uncased,0,1,NONE,full test acc,0.5037655234336853,True
probe_4_no_context,bert-base-uncased,0,2,NONE,full test f1,0.5002596378326416,True
probe_4_no_context,bert-base-uncased,0,2,NONE,full test acc,0.5014209747314453,True
probe_4_no_context,bert-base-uncased,4,0,NONE,full test f1,0.4888103604316711,True
probe_4_no_context,bert-base-uncased,4,0,NONE,full test acc,0.504564642906189,True
probe_4_no_context,bert-base-uncased,1,1,NONE,full test f1,0.4727409482002258,True
probe_4_no_context,bert-base-uncased,1,1,NONE,full test acc,0.4964475929737091,True
probe_4_no_context,bert-base-uncased,1,0,NONE,full test f1,0.4840124249458313,True
probe_4_no_context,bert-base-uncased,1,0,NONE,full test acc,0.5000177621841431,True
probe_4_no_context,microsoft/deberta-v3-base,0,3,NONE,full test f1,0.463241696357727,True
probe_4_no_context,microsoft/deberta-v3-base,0,3,NONE,full test acc,0.4940674901008606,True
probe_4_no_context,microsoft/deberta-v3-base,2,2,NONE,full test f1,0.4948258996009826,True
probe_4_no_context,microsoft/deberta-v3-base,2,2,NONE,full test acc,0.4977975189685821,True
probe_4_no_context,microsoft/deberta-v3-base,3,0,NONE,full test f1,0.4706499278545379,True
probe_4_no_context,microsoft/deberta-v3-base,3,0,NONE,full test acc,0.4988455176353454,True
probe_4_no_context,facebook/bart-base,1,3,NONE,full test f1,0.4923981428146362,True
probe_4_no_context,facebook/bart-base,1,3,NONE,full test acc,0.4974777996540069,True
probe_4_no_context,facebook/bart-base,4,3,NONE,full test f1,0.492852509021759,True
probe_4_no_context,facebook/bart-base,4,3,NONE,full test acc,0.4953463673591614,True
probe_4_no_context,facebook/bart-base,0,1,NONE,full test f1,0.4961830973625183,True
probe_4_no_context,facebook/bart-base,0,1,NONE,full test acc,0.4976909458637237,True
probe_4_no_context,gpt2,3,3,NONE,full test f1,0.4569977819919586,True
probe_4_no_context,gpt2,3,3,NONE,full test acc,0.4962344467639923,True
probe_4_no_context,gpt2,3,1,NONE,full test f1,0.4751049280166626,True
probe_4_no_context,gpt2,3,1,NONE,full test acc,0.4987211227416992,True
probe_4_no_context,gpt2,0,2,NONE,full test f1,0.4988079071044922,True
probe_4_no_context,gpt2,0,2,NONE,full test acc,0.498934268951416,True
probe_4_no_context,albert-base-v2,4,2,NONE,full test f1,0.4757975041866302,True
probe_4_no_context,albert-base-v2,4,2,NONE,full test acc,0.5014564990997314,True
probe_4_no_context,albert-base-v2,3,2,NONE,full test f1,0.4927812814712524,True
probe_4_no_context,albert-base-v2,3,2,NONE,full test acc,0.4928596913814544,True
probe_4_no_context,albert-base-v2,0,2,NONE,full test f1,0.4979476928710937,True
probe_4_no_context,albert-base-v2,0,2,NONE,full test acc,0.500532865524292,True
probe_4_no_context,albert-base-v2,3,0,NONE,full test f1,0.4998593628406524,True
probe_4_no_context,albert-base-v2,3,0,NONE,full test acc,0.5029306411743164,True
probe_4_no_context,bert-base-uncased,3,0,NONE,full test f1,0.4826400279998779,True
probe_4_no_context,bert-base-uncased,3,0,NONE,full test acc,0.5042094588279724,True
probe_4_no_context,bert-base-uncased,1,3,NONE,full test f1,0.475752592086792,True
probe_4_no_context,bert-base-uncased,1,3,NONE,full test acc,0.4989697933197021,True
probe_4_no_context,bert-base-uncased,4,3,NONE,full test f1,0.4986956119537353,True
probe_4_no_context,bert-base-uncased,4,3,NONE,full test acc,0.4987211227416992,True
probe_4_no_context,microsoft/deberta-v3-base,1,2,NONE,full test f1,0.4402146339416504,True
probe_4_no_context,microsoft/deberta-v3-base,1,2,NONE,full test acc,0.5015630722045898,True
probe_4_no_context,microsoft/deberta-v3-base,1,1,NONE,full test f1,0.4909302294254303,True
probe_4_no_context,microsoft/deberta-v3-base,1,1,NONE,full test acc,0.4981527626514435,True
probe_4_no_context,facebook/bart-base,4,2,NONE,full test f1,0.4821220934391022,True
probe_4_no_context,facebook/bart-base,4,2,NONE,full test acc,0.5001420974731445,True
probe_4_no_context,gpt2,1,0,NONE,full test f1,0.4672334194183349,True
probe_4_no_context,gpt2,1,0,NONE,full test acc,0.5031082630157471,True
probe_4_no_context,gpt2,3,1,NONE,full test f1,0.4750594794750213,True
probe_4_no_context,gpt2,3,1,NONE,full test acc,0.4986855983734131,True
probe_4_no_context,albert-base-v2,3,2,NONE,full test f1,0.4927102327346802,True
probe_4_no_context,albert-base-v2,3,2,NONE,full test acc,0.4927886426448822,True
probe_4_no_context,albert-base-v2,2,2,NONE,full test f1,0.4949272572994232,True
probe_4_no_context,albert-base-v2,2,2,NONE,full test acc,0.5008525848388672,True
probe_4_no_context,albert-base-v2,4,3,NONE,full test f1,0.4987852573394775,True
probe_4_no_context,albert-base-v2,4,3,NONE,full test acc,0.4995026588439941,True
probe_4_no_context,albert-base-v2,0,2,NONE,full test f1,0.497876226902008,True
probe_4_no_context,albert-base-v2,0,2,NONE,full test acc,0.5004618167877197,True
probe_4_no_context,bert-base-uncased,3,2,NONE,full test f1,0.4924478530883789,True
probe_4_no_context,bert-base-uncased,3,2,NONE,full test acc,0.4965541660785675,True
probe_4_no_context,facebook/bart-base,2,3,NONE,full test f1,0.4986239373683929,True
probe_4_no_context,facebook/bart-base,2,3,NONE,full test acc,0.4988632202148437,True
probe_4_no_context,facebook/bart-base,4,2,NONE,full test f1,0.4820342659950256,True
probe_4_no_context,facebook/bart-base,4,2,NONE,full test acc,0.5000710487365723,True
probe_4_no_context,gpt2,3,2,NONE,full test f1,0.4826444983482361,True
probe_4_no_context,gpt2,3,2,NONE,full test acc,0.5008525848388672,True
probe_4_no_context,gpt2,2,1,NONE,full test f1,0.4943788051605224,True
probe_4_no_context,gpt2,2,1,NONE,full test acc,0.4957726597785949,True
probe_4_no_context,gpt2,3,0,NONE,full test f1,0.4926103353500366,True
probe_4_no_context,gpt2,3,0,NONE,full test acc,0.5003730058670044,True
probe_4_no_context,albert-base-v2,0,1,NONE,full test f1,0.4767101407051086,True
probe_4_no_context,albert-base-v2,0,1,NONE,full test acc,0.5049378275871277,True
probe_4_no_context,albert-base-v2,4,1,NONE,full test f1,0.460412323474884,True
probe_4_no_context,albert-base-v2,4,1,NONE,full test acc,0.5023090839385986,True
probe_4_no_context,microsoft/deberta-v3-base,2,2,NONE,full test f1,0.4947873950004577,True
probe_4_no_context,gpt2,0,1,NONE,full test f1,0.4927569627761841,True
probe_4_no_context,gpt2,0,1,NONE,full test acc,0.4950266480445862,True
probe_4_no_context,bert-base-uncased,1,1,NONE,full test f1,0.4727697968482971,True
probe_4_no_context,bert-base-uncased,1,1,NONE,full test acc,0.4964831173419952,True
probe_5_no_context,microsoft/deberta-v3-base,3,1,NONE,full test f1,0.3783071041107178,True
probe_5_no_context,microsoft/deberta-v3-base,3,1,NONE,full test acc,0.4043999910354614,True
probe_5_no_context,microsoft/deberta-v3-base,4,1,NONE,full test f1,0.3814506530761719,True
probe_5_no_context,microsoft/deberta-v3-base,4,1,NONE,full test acc,0.4044800102710724,True
probe_5_no_context,microsoft/deberta-v3-base,3,2,NONE,full test f1,0.382759690284729,True
probe_5_no_context,microsoft/deberta-v3-base,3,2,NONE,full test acc,0.4078800082206726,True
probe_5_no_context,microsoft/deberta-v3-base,1,1,NONE,full test f1,0.3821931481361389,True
probe_5_no_context,microsoft/deberta-v3-base,1,1,NONE,full test acc,0.4057599902153015,True
probe_5_no_context,microsoft/deberta-v3-base,4,2,NONE,full test f1,0.3823933005332947,True
probe_5_no_context,microsoft/deberta-v3-base,4,2,NONE,full test acc,0.407039999961853,True
probe_5_no_context,microsoft/deberta-v3-base,2,2,NONE,full test f1,0.3815122842788696,True
probe_5_no_context,microsoft/deberta-v3-base,2,2,NONE,full test acc,0.4078800082206726,True
probe_5_no_context,microsoft/deberta-v3-base,0,2,NONE,full test f1,0.3818824887275696,True
probe_5_no_context,microsoft/deberta-v3-base,0,2,NONE,full test acc,0.4075599908828735,True
probe_5_no_context,microsoft/deberta-v3-base,4,3,NONE,full test f1,0.3818281292915344,True
probe_5_no_context,microsoft/deberta-v3-base,4,3,NONE,full test acc,0.4048399925231933,True
probe_5_no_context,microsoft/deberta-v3-base,4,0,NONE,full test f1,0.3767493069171905,True
probe_5_no_context,microsoft/deberta-v3-base,4,0,NONE,full test acc,0.4004800021648407,True
probe_5_no_context,microsoft/deberta-v3-base,0,3,NONE,full test f1,0.3806241154670715,True
probe_5_no_context,microsoft/deberta-v3-base,0,3,NONE,full test acc,0.4053199887275696,True
probe_5_no_context,microsoft/deberta-v3-base,0,0,NONE,full test f1,0.376544326543808,True
probe_5_no_context,microsoft/deberta-v3-base,0,0,NONE,full test acc,0.4015200138092041,True
probe_5_no_context,microsoft/deberta-v3-base,1,0,NONE,full test f1,0.3767603635787964,True
probe_5_no_context,microsoft/deberta-v3-base,1,0,NONE,full test acc,0.399399995803833,True
probe_5_no_context,microsoft/deberta-v3-base,1,3,NONE,full test f1,0.3816815018653869,True
probe_5_no_context,microsoft/deberta-v3-base,1,3,NONE,full test acc,0.4048399925231933,True
probe_5_no_context,microsoft/deberta-v3-base,2,3,NONE,full test f1,0.3809772431850433,True
probe_5_no_context,microsoft/deberta-v3-base,2,3,NONE,full test acc,0.4056400060653686,True
probe_5_no_context,microsoft/deberta-v3-base,1,2,NONE,full test f1,0.3830987513065338,True
probe_5_no_context,microsoft/deberta-v3-base,1,2,NONE,full test acc,0.4083999991416931,True
probe_5_no_context,microsoft/deberta-v3-base,3,3,NONE,full test f1,0.380829393863678,True
probe_5_no_context,microsoft/deberta-v3-base,3,3,NONE,full test acc,0.4054000079631805,True
probe_5_no_context,microsoft/deberta-v3-base,2,0,NONE,full test f1,0.3765130043029785,True
probe_5_no_context,microsoft/deberta-v3-base,2,0,NONE,full test acc,0.3991999924182892,True
probe_5_no_context,microsoft/deberta-v3-base,2,1,NONE,full test f1,0.3819045126438141,True
probe_5_no_context,microsoft/deberta-v3-base,2,1,NONE,full test acc,0.4053199887275696,True
probe_5_no_context,microsoft/deberta-v3-base,0,1,NONE,full test f1,0.3809314370155334,True
probe_5_no_context,microsoft/deberta-v3-base,0,1,NONE,full test acc,0.404119998216629,True
probe_5_no_context,microsoft/deberta-v3-base,3,0,NONE,full test f1,0.3734873235225677,True
probe_5_no_context,microsoft/deberta-v3-base,3,0,NONE,full test acc,0.4011200070381164,True
probe_5_no_context,facebook/bart-base,2,1,NONE,full test f1,0.3887918591499328,True
probe_5_no_context,facebook/bart-base,2,1,NONE,full test acc,0.4090799987316131,True
probe_5_no_context,facebook/bart-base,0,0,NONE,full test f1,0.3856585621833801,True
probe_5_no_context,facebook/bart-base,0,0,NONE,full test acc,0.4078800082206726,True
probe_5_no_context,facebook/bart-base,2,0,NONE,full test f1,0.3875028789043426,True
probe_5_no_context,facebook/bart-base,2,0,NONE,full test acc,0.4127599895000458,True
probe_5_no_context,facebook/bart-base,3,2,NONE,full test f1,0.3879903554916382,True
probe_5_no_context,facebook/bart-base,3,2,NONE,full test acc,0.4108400046825409,True
probe_5_no_context,facebook/bart-base,4,0,NONE,full test f1,0.3871255218982696,True
probe_5_no_context,facebook/bart-base,4,0,NONE,full test acc,0.4085600078105926,True
probe_5_no_context,facebook/bart-base,2,2,NONE,full test f1,0.3871475756168365,True
probe_5_no_context,facebook/bart-base,2,2,NONE,full test acc,0.4078800082206726,True
probe_5_no_context,facebook/bart-base,3,3,NONE,full test f1,0.3906382322311401,True
probe_5_no_context,facebook/bart-base,3,3,NONE,full test acc,0.4113200008869171,True
probe_5_no_context,facebook/bart-base,1,0,NONE,full test f1,0.3887845277786255,True
probe_5_no_context,facebook/bart-base,1,0,NONE,full test acc,0.4097200036048889,True
probe_5_no_context,facebook/bart-base,4,2,NONE,full test f1,0.3864591121673584,True
probe_5_no_context,facebook/bart-base,4,2,NONE,full test acc,0.4079599976539612,True
probe_5_no_context,facebook/bart-base,3,0,NONE,full test f1,0.3868092894554138,True
probe_5_no_context,facebook/bart-base,3,0,NONE,full test acc,0.4090000092983246,True
probe_5_no_context,facebook/bart-base,1,3,NONE,full test f1,0.3888916373252868,True
