project,model,seed,fold,control_task,metric,value
1_1_affirming_opposing_light,albert-base-v2,2,0,PERMUTATION,full test f1,0.5934392213821411
1_1_affirming_opposing_light,albert-base-v2,2,0,PERMUTATION,full test acc,0.5959367752075195
1_1_affirming_opposing_light,albert-base-v2,0,3,PERMUTATION,full test f1,0.5994950532913208
1_1_affirming_opposing_light,albert-base-v2,0,3,PERMUTATION,full test acc,0.6011175513267517
1_1_affirming_opposing_light,albert-base-v2,2,3,PERMUTATION,full test f1,0.5952239036560059
1_1_affirming_opposing_light,albert-base-v2,2,3,PERMUTATION,full test acc,0.5994893312454224
1_1_affirming_opposing_light,albert-base-v2,0,2,PERMUTATION,full test f1,0.6023667454719543
1_1_affirming_opposing_light,albert-base-v2,0,2,PERMUTATION,full test acc,0.6040040254592896
1_1_affirming_opposing_light,albert-base-v2,1,3,PERMUTATION,full test f1,0.5994194746017456
1_1_affirming_opposing_light,albert-base-v2,1,3,PERMUTATION,full test acc,0.6016356348991394
1_1_affirming_opposing_light,albert-base-v2,4,3,PERMUTATION,full test f1,0.598829984664917
1_1_affirming_opposing_light,albert-base-v2,4,3,PERMUTATION,full test acc,0.6008214950561523
1_1_affirming_opposing_light,albert-base-v2,1,1,PERMUTATION,full test f1,0.5918341875076294
1_1_affirming_opposing_light,albert-base-v2,1,1,PERMUTATION,full test acc,0.5923842787742615
1_1_affirming_opposing_light,albert-base-v2,4,0,PERMUTATION,full test f1,0.5879294872283936
1_1_affirming_opposing_light,albert-base-v2,4,0,PERMUTATION,full test acc,0.5915701389312744
1_1_affirming_opposing_light,albert-base-v2,2,2,PERMUTATION,full test f1,0.6019684672355652
1_1_affirming_opposing_light,albert-base-v2,2,2,PERMUTATION,full test acc,0.6036339402198792
1_1_affirming_opposing_light,albert-base-v2,1,2,PERMUTATION,full test f1,0.5972872972488403
1_1_affirming_opposing_light,albert-base-v2,1,2,PERMUTATION,full test acc,0.6009695529937744
1_1_affirming_opposing_light,albert-base-v2,1,0,PERMUTATION,full test f1,0.5894004106521606
1_1_affirming_opposing_light,albert-base-v2,1,0,PERMUTATION,full test acc,0.5894238352775574
1_1_affirming_opposing_light,albert-base-v2,0,1,PERMUTATION,full test f1,0.5990650653839111
1_1_affirming_opposing_light,albert-base-v2,0,1,PERMUTATION,full test acc,0.6012656092643738
1_1_affirming_opposing_light,albert-base-v2,0,0,PERMUTATION,full test f1,0.5922024846076965
1_1_affirming_opposing_light,albert-base-v2,0,0,PERMUTATION,full test acc,0.5946046113967896
1_1_affirming_opposing_light,bert-base-uncased,3,2,PERMUTATION,full test f1,0.6040717363357544
1_1_affirming_opposing_light,bert-base-uncased,3,2,PERMUTATION,full test acc,0.6069274544715881
1_1_affirming_opposing_light,bert-base-uncased,4,2,PERMUTATION,full test f1,0.602952241897583
1_1_affirming_opposing_light,bert-base-uncased,4,2,PERMUTATION,full test acc,0.6051141619682312
1_1_affirming_opposing_light,bert-base-uncased,0,2,PERMUTATION,full test f1,0.6067183613777161
1_1_affirming_opposing_light,bert-base-uncased,0,2,PERMUTATION,full test acc,0.609184741973877
1_1_affirming_opposing_light,bert-base-uncased,2,2,PERMUTATION,full test f1,0.6075038909912109
1_1_affirming_opposing_light,bert-base-uncased,2,2,PERMUTATION,full test acc,0.6090737581253052
1_1_affirming_opposing_light,bert-base-uncased,3,3,PERMUTATION,full test f1,0.6079984903335571
1_1_affirming_opposing_light,bert-base-uncased,3,3,PERMUTATION,full test acc,0.6105169653892517
1_1_affirming_opposing_light,bert-base-uncased,4,3,PERMUTATION,full test f1,0.6086297035217285
1_1_affirming_opposing_light,bert-base-uncased,4,3,PERMUTATION,full test acc,0.6102579236030579
1_1_affirming_opposing_light,bert-base-uncased,4,0,PERMUTATION,full test f1,0.6024882197380066
1_1_affirming_opposing_light,bert-base-uncased,4,0,PERMUTATION,full test acc,0.604633092880249
1_1_affirming_opposing_light,bert-base-uncased,2,3,PERMUTATION,full test f1,0.6094777584075928
1_1_affirming_opposing_light,bert-base-uncased,2,3,PERMUTATION,full test acc,0.610664963722229
1_1_affirming_opposing_light,bert-base-uncased,0,0,PERMUTATION,full test f1,0.6042603254318237
1_1_affirming_opposing_light,bert-base-uncased,0,0,PERMUTATION,full test acc,0.6066684126853943
1_1_affirming_opposing_light,bert-base-uncased,0,3,PERMUTATION,full test f1,0.6066955327987671
1_1_affirming_opposing_light,bert-base-uncased,0,3,PERMUTATION,full test acc,0.6086297035217285
1_1_affirming_opposing_light,bert-base-uncased,1,2,PERMUTATION,full test f1,0.6059547662734985
1_1_affirming_opposing_light,bert-base-uncased,1,2,PERMUTATION,full test acc,0.6078155636787415
1_1_affirming_opposing_light,bert-base-uncased,3,0,PERMUTATION,full test f1,0.6041780114173889
1_1_affirming_opposing_light,bert-base-uncased,3,0,PERMUTATION,full test acc,0.6063353419303894
1_1_affirming_opposing_light,bert-base-uncased,1,3,PERMUTATION,full test f1,0.608547031879425
1_1_affirming_opposing_light,bert-base-uncased,1,3,PERMUTATION,full test acc,0.6108130216598511
1_1_affirming_opposing_light,bert-base-uncased,2,1,PERMUTATION,full test f1,0.602821409702301
1_1_affirming_opposing_light,bert-base-uncased,2,1,PERMUTATION,full test acc,0.6048181056976318
1_1_affirming_opposing_light,bert-base-uncased,4,1,PERMUTATION,full test f1,0.6048036217689514
1_1_affirming_opposing_light,bert-base-uncased,4,1,PERMUTATION,full test acc,0.6061873435974121
1_1_affirming_opposing_light,bert-base-uncased,1,0,PERMUTATION,full test f1,0.6038681268692017
1_1_affirming_opposing_light,bert-base-uncased,1,0,PERMUTATION,full test acc,0.6067054271697998
1_1_affirming_opposing_light,bert-base-uncased,3,1,PERMUTATION,full test f1,0.602588951587677
1_1_affirming_opposing_light,bert-base-uncased,3,1,PERMUTATION,full test acc,0.6049661636352539
1_1_affirming_opposing_light,bert-base-uncased,0,1,PERMUTATION,full test f1,0.6027029752731323
1_1_affirming_opposing_light,bert-base-uncased,0,1,PERMUTATION,full test acc,0.6053361892700195
1_1_affirming_opposing_light,bert-base-uncased,2,0,PERMUTATION,full test f1,0.6048678159713745
1_1_affirming_opposing_light,bert-base-uncased,2,0,PERMUTATION,full test acc,0.6069274544715881
1_1_affirming_opposing_light,bert-base-uncased,1,1,PERMUTATION,full test f1,0.6049423217773438
1_1_affirming_opposing_light,bert-base-uncased,1,1,PERMUTATION,full test acc,0.6073715090751648
1_1_affirming_opposing_light,microsoft/deberta-v3-base,2,0,PERMUTATION,full test f1,0.5971453785896301
1_1_affirming_opposing_light,microsoft/deberta-v3-base,2,0,PERMUTATION,full test acc,0.5988972187042236
1_1_affirming_opposing_light,microsoft/deberta-v3-base,0,3,PERMUTATION,full test f1,0.6029776334762573
1_1_affirming_opposing_light,microsoft/deberta-v3-base,0,3,PERMUTATION,full test acc,0.603967010974884
1_1_affirming_opposing_light,microsoft/deberta-v3-base,3,1,PERMUTATION,full test f1,0.5944240093231201
1_1_affirming_opposing_light,microsoft/deberta-v3-base,3,1,PERMUTATION,full test acc,0.5976390242576599
1_1_affirming_opposing_light,microsoft/deberta-v3-base,2,3,PERMUTATION,full test f1,0.6012018918991089
1_1_affirming_opposing_light,microsoft/deberta-v3-base,2,3,PERMUTATION,full test acc,0.6019316911697388
1_1_affirming_opposing_light,microsoft/deberta-v3-base,4,3,PERMUTATION,full test f1,0.603468120098114
1_1_affirming_opposing_light,microsoft/deberta-v3-base,4,3,PERMUTATION,full test acc,0.6047810912132263
1_1_affirming_opposing_light,microsoft/deberta-v3-base,1,0,PERMUTATION,full test f1,0.5902754664421082
1_1_affirming_opposing_light,microsoft/deberta-v3-base,1,0,PERMUTATION,full test acc,0.593013346195221
1_1_affirming_opposing_light,microsoft/deberta-v3-base,4,1,PERMUTATION,full test f1,0.5880236029624939
1_1_affirming_opposing_light,microsoft/deberta-v3-base,4,1,PERMUTATION,full test acc,0.5908670425415039
1_1_affirming_opposing_light,microsoft/deberta-v3-base,2,2,PERMUTATION,full test f1,0.6002210378646851
1_1_affirming_opposing_light,microsoft/deberta-v3-base,2,2,PERMUTATION,full test acc,0.6010805368423462
1_1_affirming_opposing_light,microsoft/deberta-v3-base,4,2,PERMUTATION,full test f1,0.5993083119392395
1_1_affirming_opposing_light,microsoft/deberta-v3-base,4,2,PERMUTATION,full test acc,0.600599467754364
1_1_affirming_opposing_light,microsoft/deberta-v3-base,3,3,PERMUTATION,full test f1,0.5988496541976929
1_1_affirming_opposing_light,microsoft/deberta-v3-base,3,3,PERMUTATION,full test acc,0.6016356348991394
1_1_affirming_opposing_light,microsoft/deberta-v3-base,0,0,PERMUTATION,full test f1,0.5957018136978149
1_1_affirming_opposing_light,microsoft/deberta-v3-base,0,0,PERMUTATION,full test acc,0.5973799824714661
1_1_affirming_opposing_light,microsoft/deberta-v3-base,1,3,PERMUTATION,full test f1,0.6032503247261047
1_1_affirming_opposing_light,microsoft/deberta-v3-base,1,3,PERMUTATION,full test acc,0.6043000221252441
1_1_affirming_opposing_light,microsoft/deberta-v3-base,3,2,PERMUTATION,full test f1,0.5969996452331543
1_1_affirming_opposing_light,microsoft/deberta-v3-base,3,2,PERMUTATION,full test acc,0.6002664566040039
1_1_affirming_opposing_light,microsoft/deberta-v3-base,3,0,PERMUTATION,full test f1,0.5945466756820679
1_1_affirming_opposing_light,microsoft/deberta-v3-base,3,0,PERMUTATION,full test acc,0.5961588025093079
1_1_affirming_opposing_light,microsoft/deberta-v3-base,1,2,PERMUTATION,full test f1,0.5987602472305298
1_1_affirming_opposing_light,microsoft/deberta-v3-base,1,2,PERMUTATION,full test acc,0.5997483730316162
1_1_affirming_opposing_light,microsoft/deberta-v3-base,2,1,PERMUTATION,full test f1,0.595396876335144
1_1_affirming_opposing_light,microsoft/deberta-v3-base,2,1,PERMUTATION,full test acc,0.5981571078300476
1_1_affirming_opposing_light,microsoft/deberta-v3-base,0,2,PERMUTATION,full test f1,0.5993607044219971
1_1_affirming_opposing_light,microsoft/deberta-v3-base,0,2,PERMUTATION,full test acc,0.6004514694213867
1_1_affirming_opposing_light,microsoft/deberta-v3-base,0,1,PERMUTATION,full test f1,0.5963707566261292
1_1_affirming_opposing_light,microsoft/deberta-v3-base,0,1,PERMUTATION,full test acc,0.5980461239814758
1_1_affirming_opposing_light,microsoft/deberta-v3-base,1,1,PERMUTATION,full test f1,0.5988085865974426
1_1_affirming_opposing_light,microsoft/deberta-v3-base,1,1,PERMUTATION,full test acc,0.6002664566040039
1_1_affirming_opposing_light,microsoft/deberta-v3-base,4,0,PERMUTATION,full test f1,0.5970511436462402
1_1_affirming_opposing_light,microsoft/deberta-v3-base,4,0,PERMUTATION,full test acc,0.598453164100647
1_1_affirming_opposing_light,facebook/bart-base,4,3,PERMUTATION,full test f1,0.6065584421157837
1_1_affirming_opposing_light,facebook/bart-base,4,3,PERMUTATION,full test acc,0.6083706617355347
1_1_affirming_opposing_light,facebook/bart-base,3,2,PERMUTATION,full test f1,0.6082721948623657
1_1_affirming_opposing_light,facebook/bart-base,3,2,PERMUTATION,full test acc,0.6115901470184326
1_1_affirming_opposing_light,facebook/bart-base,1,3,PERMUTATION,full test f1,0.6098858714103699
1_1_affirming_opposing_light,facebook/bart-base,1,3,PERMUTATION,full test acc,0.6118861436843872
1_1_affirming_opposing_light,facebook/bart-base,4,1,PERMUTATION,full test f1,0.6026661396026611
1_1_affirming_opposing_light,facebook/bart-base,4,1,PERMUTATION,full test acc,0.6050771474838257
1_1_affirming_opposing_light,facebook/bart-base,4,2,PERMUTATION,full test f1,0.6047841310501099
1_1_affirming_opposing_light,facebook/bart-base,4,2,PERMUTATION,full test acc,0.6053361892700195
1_1_affirming_opposing_light,facebook/bart-base,0,3,PERMUTATION,full test f1,0.6095744967460632
1_1_affirming_opposing_light,facebook/bart-base,0,3,PERMUTATION,full test acc,0.6112570762634277
1_1_affirming_opposing_light,facebook/bart-base,3,3,PERMUTATION,full test f1,0.6073139905929565
1_1_affirming_opposing_light,facebook/bart-base,3,3,PERMUTATION,full test acc,0.6098508834838867
1_1_affirming_opposing_light,facebook/bart-base,2,2,PERMUTATION,full test f1,0.6104992628097534
1_1_affirming_opposing_light,facebook/bart-base,2,2,PERMUTATION,full test acc,0.6119601726531982
1_1_affirming_opposing_light,facebook/bart-base,3,1,PERMUTATION,full test f1,0.6096508502960205
1_1_affirming_opposing_light,facebook/bart-base,3,1,PERMUTATION,full test acc,0.6122192144393921
1_1_affirming_opposing_light,facebook/bart-base,2,3,PERMUTATION,full test f1,0.6096261739730835
1_1_affirming_opposing_light,facebook/bart-base,2,3,PERMUTATION,full test acc,0.6108130216598511
1_1_affirming_opposing_light,facebook/bart-base,0,1,PERMUTATION,full test f1,0.6063413023948669
1_1_affirming_opposing_light,facebook/bart-base,0,1,PERMUTATION,full test acc,0.6088147163391113
1_1_affirming_opposing_light,facebook/bart-base,0,2,PERMUTATION,full test f1,0.6089681386947632
1_1_affirming_opposing_light,facebook/bart-base,0,2,PERMUTATION,full test acc,0.6109980344772339
1_1_affirming_opposing_light,facebook/bart-base,4,0,PERMUTATION,full test f1,0.6093809008598328
1_1_affirming_opposing_light,facebook/bart-base,4,0,PERMUTATION,full test acc,0.6114420890808105
1_1_affirming_opposing_light,facebook/bart-base,0,0,PERMUTATION,full test f1,0.6106264591217041
1_1_affirming_opposing_light,facebook/bart-base,0,0,PERMUTATION,full test acc,0.6127743124961853
1_1_affirming_opposing_light,facebook/bart-base,1,0,PERMUTATION,full test f1,0.6085888147354126
1_1_affirming_opposing_light,facebook/bart-base,1,0,PERMUTATION,full test acc,0.610072910785675
1_1_affirming_opposing_light,facebook/bart-base,2,0,PERMUTATION,full test f1,0.6090552806854248
1_1_affirming_opposing_light,facebook/bart-base,2,0,PERMUTATION,full test acc,0.610664963722229
1_1_affirming_opposing_light,facebook/bart-base,1,2,PERMUTATION,full test f1,0.6033365726470947
1_1_affirming_opposing_light,facebook/bart-base,1,2,PERMUTATION,full test acc,0.6067423820495605
1_1_affirming_opposing_light,facebook/bart-base,2,1,PERMUTATION,full test f1,0.6105931997299194
1_1_affirming_opposing_light,facebook/bart-base,2,1,PERMUTATION,full test acc,0.612145185470581
1_1_affirming_opposing_light,facebook/bart-base,1,1,PERMUTATION,full test f1,0.6092451214790344
1_1_affirming_opposing_light,facebook/bart-base,1,1,PERMUTATION,full test acc,0.6118491888046265
1_1_affirming_opposing_light,facebook/bart-base,3,0,PERMUTATION,full test f1,0.6095144748687744
1_1_affirming_opposing_light,facebook/bart-base,3,0,PERMUTATION,full test acc,0.6116641163825989
1_1_affirming_opposing_light,gpt2,4,1,PERMUTATION,full test f1,0.6061906814575195
